アクション,Wi-Fi名
接続成功,Wi-Fi2
プログラム終了,N/A
接続成功,Wi-Fi1
切断成功,N/A
接続成功,Wi-Fi1
接続成功,Wi-Fi1
接続成功,Wi-Fi2
プログラム終了,N/A
プログラム終了,N/A
プログラム終了,N/A
接続成功,Wi-Fi2
プログラム終了,N/A
接続成功,Wi-Fi1
接続成功,Wi-Fi1
接続成功,Wi-Fi1
接続成功,Wi-Fi1
接続成功,Wi-Fi1
切断成功,N/A
接続成功,Wi-Fi1
接続成功,Wi-Fi1
接続成功,Wi-Fi2
接続成功,Wi-Fi1
切断成功,N/A
接続成功,Wi-Fi2
接続成功,Wi-Fi1
接続成功,Wi-Fi1
接続成功,Wi-Fi1
接続成功,Wi-Fi1
接続成功,Wi-Fi1
接続成功,Wi-Fi1
切断成功,N/A
接続成功,Wi-Fi1
接続成功,Wi-Fi1
接続成功,Wi-Fi1
接続成功,Wi-Fi1
接続成功,Wi-Fi1
接続成功,Wi-Fi1,2023-12-07 15:00:27
接続成功,Wi-Fi1,2023-12-07 15:45:09
接続成功,Wi-Fi1,2023-12-07 15:45:20
接続成功,Wi-Fi1,2023-12-07 15:47:36
切断成功,N/A,2023-12-07 15:48:46
接続成功,Wi-Fi1,2023-12-07 15:48:49
接続成功,Wi-Fi1,2023-12-07 15:51:33
接続成功,Wi-Fi1
接続成功,Wi-Fi1
接続成功,Wi-Fi1
切断成功,N/A
